tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T2-T3,0.0011053006753278,0.0028728286282878,0.2778,2,S***
T2-T4,5.6319705738435415e-08,8.95258354575295e-07,0.4242,2,M***
T2-T5,0.1882792520166035,0.2045331447918392,-0.0858,2,S*
T3-T4,0.0015956232214645,0.0031417119072237,0.2629,2,S***
T3-T5,0.0056201150606481,0.004862747585576,0.2328,2,S***
T4-T5,0.2502949148535673,0.255084772503005,0.1184,2,S*
T2-T3-T4,6.502998380574668e-09,6.347669838371601e-09,0.4526,3,L***
T2-T3-T5,0.5005070499045439,0.7961895546564786,0.0792,3,S*
T2-T4-T5,0.3035479091899639,0.3071679920485064,0.0872,3,S*
T3-T4-T5,0.0331701976776278,0.0643396752015911,0.172,3,S**
T2-T3-T4-T5,0.8271924883503364,0.5496607761509097,0.0502,4,S*
