tasks,ttest_p,wilcoxon_p,cliff_delta,task_length,notation
T1-T2,0.9241766426216418,0.9179913412883964,0.002,2,S*
T1-T3,9.706233941422374e-05,0.0001790719124271,0.2997,2,M***
T1-T4,0.027247994598379,0.0531046255043342,0.1581,2,S**
T1-T5,0.0052853045877857,0.0111663212810077,-0.2201,2,S***
T1-T2-T3,0.0005330791319495,0.0001543923205949,0.2685,3,S***
T1-T2-T4,0.4152400377815745,0.350480232008169,0.0628,3,S*
T1-T2-T5,0.1360143232353334,0.1006284178577848,-0.1476,3,S*
T1-T3-T4,0.0002488504533818,0.0001143986456047,0.2753,3,S***
T1-T3-T5,0.1830107960286439,0.1325074524746997,0.0881,3,S*
T1-T4-T5,0.585036774280489,0.8031441817080006,-0.0549,3,S*
T1-T2-T3-T4,0.0483967054536136,0.0574747459904802,0.1683,4,S**
T1-T2-T3-T5,0.9587466259182272,0.9616070221685072,-0.0023,4,S*
T1-T2-T4-T5,0.564259184387299,0.697621847411009,0.0287,4,S*
T1-T3-T4-T5,0.3842628153181365,0.3353854983257178,0.077,4,S*
T1-T2-T3-T4-T5,0.0122132261348322,0.0077449156542929,0.1893,5,S**
